1,C,Russell Martin,28,125,476,417,57,99,17,0,18,65,8,2,50,81,.237,.324,.408,.732,95,170,19,5,1,3,1,martiru01
2,1B,Mark Teixeira#,31,156,684,589,90,146,26,1,39,111,4,1,76,110,.248,.341,.494,.835,121,291,12,11,0,8,3,teixema01
3,2B,Robinson Canó*,28,159,681,623,104,188,46,7,28,118,8,2,38,96,.302,.349,.533,.882,133,332,18,12,0,8,11,canoro01
4,SS,Derek Jeter,37,131,607,546,84,162,24,4,6,61,16,6,46,81,.297,.355,.388,.743,100,212,10,6,4,5,0,jeterde01
5,3B,Alex Rodriguez,35,99,428,373,67,103,21,0,16,62,4,1,47,80,.276,.362,.461,.823,119,172,13,5,0,3,1,rodrial01
6,LF,Brett Gardner*,27,159,588,510,87,132,19,8,7,36,49,13,60,93,.259,.345,.369,.713,92,188,5,8,8,2,1,gardnbr01
7,CF,Curtis Granderson*,30,156,691,583,136,153,26,10,41,119,25,10,85,169,.262,.364,.552,.916,142,322,12,12,4,7,0,grandcu01
8,RF,Nick Swisher#,30,150,635,526,81,137,30,0,23,85,2,2,95,125,.260,.374,.449,.822,120,236,18,5,1,8,6,swishni01
9,DH,Jorge Posada#,40,115,387,344,34,81,14,0,14,44,0,2,39,76,.235,.315,.398,.714,90,137,17,2,0,2,4,posadjo01
10,IF,Eduardo Núñez,24,112,338,309,38,82,18,2,5,30,22,6,22,37,.265,.313,.385,.698,87,119,6,0,6,1,2,nunezed02
11,LF,Andruw Jones,34,77,222,190,27,47,8,0,13,33,0,0,29,62,.247,.356,.495,.851,126,94,3,3,0,0,0,jonesan01
12,3B,Eric Chavez*,33,58,175,160,16,42,7,1,2,26,0,0,14,34,.263,.320,.356,.676,82,57,4,0,0,1,3,chaveer01
13,C,Francisco Cervelli,25,43,137,124,17,33,4,0,4,22,4,1,9,29,.266,.324,.395,.719,92,49,4,2,1,1,0,cervefr01
14,DH,Jesus Montero,21,18,69,61,9,20,4,0,4,12,0,0,7,17,.328,.406,.590,.996,163,36,2,1,0,0,2,monteje01
15,OF,Chris Dickerson*,29,60,55,50,9,13,2,0,1,7,4,0,2,17,.260,.296,.360,.656,75,18,1,1,1,1,0,dickech01
16,IF,Ramiro Pena#,25,23,46,40,5,4,0,0,1,4,0,0,2,11,.100,.159,.175,.334,-10,7,1,1,2,1,0,penara02
17,CI,Brandon Laird,23,11,25,21,3,4,0,0,0,1,0,0,3,4,.190,.292,.190,.482,34,4,1,0,1,0,0,lairdbr01
18,C,Austin Romine,22,9,20,19,2,3,0,0,0,0,0,0,1,5,.158,.200,.158,.358,-2,3,0,0,0,0,0,rominau01
19,OF,Greg Golson,25,9,12,11,1,2,0,0,0,0,1,0,1,2,.182,.250,.182,.432,19,2,0,0,0,0,0,golsogr01
20,C,Gustavo Molina,29,3,6,6,0,1,1,0,0,0,0,0,0,0,.167,.167,.333,.500,30,2,0,0,0,0,0,molingu01
21,P,Freddy Garcia,34,3,8,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,3,0,0,garcifr03
22,P,Iván Nova,24,2,5,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,1,0,0,novaiv01
23,P,A.J. Burnett,34,2,3,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,burnea.01
24,P,CC Sabathia*,30,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,sabatc.01
25,P,Bartolo Colon,38,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,colonba01
26,P,Brian Gordon*,32,1,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,51,0,0,0,0,0,0,gordobr01
