1,C,Francisco Cervelli,24,93,317,266,27,72,11,3,0,38,1,1,33,42,.271,.359,.335,.694,87,89,7,6,8,4,1,cervefr01
2,1B,Mark Teixeira#,30,158,712,601,113,154,36,0,33,108,0,1,93,122,.256,.365,.481,.846,124,289,15,13,0,5,6,teixema01
3,2B,Robinson Canó*,27,160,696,626,103,200,41,3,29,109,3,2,57,77,.319,.381,.534,.914,141,334,19,8,0,5,14,canoro01
4,SS,Derek Jeter,36,157,739,663,111,179,30,3,10,67,18,5,63,106,.270,.340,.370,.710,90,245,22,9,1,3,4,jeterde01
5,3B,Alex Rodriguez,34,137,595,522,74,141,29,2,30,125,4,3,59,98,.270,.341,.506,.847,123,264,7,3,0,11,1,rodrial01
6,LF,Brett Gardner*,26,150,569,477,97,132,20,7,5,47,47,9,79,101,.277,.383,.379,.762,105,181,6,5,5,3,1,gardnbr01
7,CF,Curtis Granderson*,29,136,528,466,76,115,17,7,24,67,12,2,53,116,.247,.324,.468,.792,108,218,3,2,4,3,3,grandcu01
8,RF,Nick Swisher#,29,150,635,566,91,163,33,3,29,89,1,2,58,139,.288,.359,.511,.870,129,289,13,6,3,2,0,swishni01
9,DH,Marcus Thames,33,82,237,212,22,61,7,0,12,33,0,0,19,61,.288,.350,.491,.841,122,104,3,3,0,3,0,thamema01
10,C,Jorge Posada#,39,120,451,383,49,95,23,1,18,57,3,1,59,99,.248,.357,.454,.811,115,174,6,7,0,2,3,posadjo01
11,3B,Ramiro Pena#,24,85,167,154,18,35,1,1,0,18,7,1,6,27,.227,.258,.247,.504,36,38,4,1,4,2,0,penara02
12,DH,Lance Berkman#,34,37,123,106,9,27,7,0,1,9,0,0,17,15,.255,.358,.349,.707,90,37,6,0,0,0,3,berkmla01
13,OF,Austin Kearns,30,36,119,102,13,24,3,0,2,7,0,0,12,38,.235,.345,.324,.668,80,33,4,5,0,0,0,kearnau01
14,DH,Nick Johnson*,31,24,98,72,12,12,4,0,2,8,0,1,24,23,.167,.388,.306,.693,89,22,2,2,0,0,0,johnsni01
15,LF,Randy Winn#,36,29,71,61,7,13,0,1,1,8,1,0,8,15,.213,.300,.295,.595,60,18,1,0,1,1,0,winnra01
16,DH,Juan Miranda*,27,33,71,64,7,14,2,1,3,10,0,0,7,12,.219,.296,.422,.718,89,27,1,0,0,0,0,miranju01
17,OF,Colin Curtis*,25,31,64,59,7,11,3,0,1,8,0,0,4,15,.186,.250,.288,.538,43,17,0,1,0,0,0,curtico01
18,UT,Kevin Russo,25,31,54,49,5,9,2,0,0,4,1,0,3,9,.184,.245,.224,.470,27,11,0,1,1,0,0,russoke01
19,IF,Eduardo Núñez,23,30,53,50,12,14,1,0,1,7,5,0,3,2,.280,.321,.360,.681,82,18,4,0,0,0,0,nunezed02
20,OF,Greg Golson,24,24,23,23,3,6,2,0,0,2,0,2,0,3,.261,.261,.348,.609,61,8,0,0,0,0,0,golsogr01
21,OF,Chad Huffman,25,9,21,18,1,3,0,0,0,2,0,0,2,5,.167,.286,.167,.452,25,3,1,1,0,0,0,huffmch01
22,C,Chad Moeller,35,9,15,14,2,3,3,0,0,0,0,0,1,4,.214,.267,.429,.695,82,6,0,0,0,0,0,moellch01
23,P,Andy Pettitte*,38,2,5,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,34,1,0,0,1,0,0,pettian01
24,P,Javier Vazquez,33,4,5,1,0,0,0,0,0,0,0,0,2,0,.000,.667,.000,.667,99,0,0,0,2,0,0,vazquja01
25,P,CC Sabathia*,29,2,5,5,0,1,0,0,0,0,0,0,0,3,.200,.200,.200,.400,7,1,0,0,0,0,0,sabatc.01
26,P,A.J. Burnett,33,2,3,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0,burnea.01
27,P,Phil Hughes,24,1,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,hugheph01
28,P,Mariano Rivera,40,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,riverma01
