1,C,Gary Sanchez,27,49,178,156,19,23,4,0,10,24,0,0,18,64,.147,.253,.365,.618,70,57,6,4,0,0,0,sanchga02
2,1B,Luke Voit,29,56,234,213,41,59,5,0,22,52,0,0,17,54,.277,.338,.610,.948,157,130,4,3,0,1,0,voitlu01
3,2B,DJ LeMahieu,31,50,216,195,41,71,10,2,10,27,3,0,18,21,.364,.421,.590,1.011,178,115,3,2,0,1,0,lemahdj01
4,SS,Gleyber Torres,23,42,160,136,17,33,8,0,3,16,1,0,22,28,.243,.356,.368,.724,103,50,5,2,0,0,0,torregl01
5,3B,Gio Urshela,28,43,174,151,24,45,11,0,6,30,1,0,18,25,.298,.368,.490,.858,137,74,6,1,0,4,0,urshegi01
6,LF,Brett Gardner*,36,49,158,130,20,29,5,1,5,15,3,3,26,35,.223,.354,.392,.747,109,51,0,1,0,1,0,gardnbr01
7,CF,Aaron Hicks#,30,54,211,169,28,38,10,2,6,21,4,1,41,38,.225,.379,.414,.793,122,70,4,1,0,0,1,hicksaa01
8,RF,Clint Frazier,25,39,160,131,24,35,6,1,8,26,3,0,25,44,.267,.394,.511,.905,150,67,5,3,0,1,0,frazicl01
9,DH,Giancarlo Stanton,30,23,94,76,12,19,7,0,4,11,1,1,15,27,.250,.387,.500,.887,145,38,4,2,0,0,1,stantmi03
10,RF,Aaron Judge,28,28,114,101,23,26,3,0,9,22,0,1,10,32,.257,.336,.554,.891,143,56,5,2,0,0,0,judgeaa01
11,OF,Mike Tauchman*,29,43,111,95,18,23,6,0,0,14,6,0,14,26,.242,.342,.305,.648,84,29,3,1,0,1,3,tauchmi01
12,MI,Tyler Wade*,25,52,105,88,19,15,3,0,3,10,4,1,12,22,.170,.288,.307,.595,67,27,1,3,1,1,0,wadety01
13,1B,Mike Ford*,27,29,84,74,5,10,4,0,2,11,0,0,7,16,.135,.226,.270,.496,38,20,4,2,0,1,0,fordmi01
14,UT,Miguel Andújar,25,21,65,62,5,15,2,1,1,5,0,0,3,9,.242,.277,.355,.632,75,22,1,0,0,0,0,andujmi01
15,IF,Thairo Estrada,24,26,52,48,8,8,0,0,1,3,1,0,1,19,.167,.231,.229,.460,29,11,0,3,0,0,0,estrath01
16,C,Kyle Higashioka,30,16,48,48,7,12,1,0,4,10,0,0,0,11,.250,.250,.521,.771,107,25,0,0,0,0,0,higasky01
17,UT,Erik Kratz,40,16,30,28,2,9,2,0,0,4,0,0,2,6,.321,.367,.393,.760,113,11,0,0,0,0,0,kratzer01
18,SS,Jordy Mercer,33,6,13,11,1,2,0,0,0,0,0,0,2,1,.182,.308,.182,.490,42,2,0,0,0,0,0,mercejo03
19,CF,Estevan Florial*,22,1,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,87,1,0,0,0,0,0,flories01
