1,C,Jose Trevino,29,115,353,335,39,83,12,1,11,43,2,1,15,62,.248,.283,.388,.671,90,130,5,2,0,1,0,trevijo01
2,1B,Anthony Rizzo*,32,130,548,465,77,104,21,1,32,75,6,5,58,101,.224,.338,.480,.817,131,223,13,23,0,2,6,rizzoan01
3,2B,Gleyber Torres,25,140,572,526,73,135,28,1,24,76,10,5,39,129,.257,.310,.451,.761,114,237,12,3,1,3,2,torregl01
4,SS,Isiah Kiner-Falefa,27,142,531,483,66,126,20,0,4,48,22,4,35,72,.261,.314,.327,.642,84,158,13,5,3,5,2,kineris01
5,3B,Josh Donaldson,36,132,546,478,59,106,28,0,15,62,2,2,54,148,.222,.308,.374,.682,94,179,13,8,0,6,1,donaljo02
6,LF,Aaron Hicks#,32,130,453,384,54,83,9,2,8,40,10,3,62,109,.216,.330,.313,.642,86,120,10,4,1,2,3,hicksaa01
7,CF,Aaron Judge,30,157,696,570,133,177,28,0,62,131,16,3,111,175,.311,.425,.686,1.111,211,391,14,6,0,5,19,judgeaa01
8,RF,Joey Gallo*,28,82,273,233,32,37,4,1,12,24,2,0,40,106,.159,.282,.339,.621,77,79,0,0,0,0,0,gallojo01
9,DH,Giancarlo Stanton,32,110,452,398,53,84,7,0,31,78,0,0,50,137,.211,.297,.462,.759,113,184,8,0,0,3,2,stantmi03
10,IF,DJ LeMahieu,33,125,541,467,74,122,18,0,12,46,4,3,67,71,.261,.357,.377,.734,111,176,12,4,1,2,0,lemahdj01
11,C,Kyle Higashioka,32,83,248,229,27,52,7,0,10,31,0,1,12,52,.227,.264,.389,.653,84,89,5,1,2,4,0,higasky01
12,UT,Marwin Gonzalez#,33,85,207,184,20,34,7,0,6,18,3,0,14,54,.185,.255,.321,.576,64,59,8,4,3,2,0,gonzama01
13,RF,Oswaldo Cabrera#,23,44,171,154,21,38,8,1,6,19,3,2,15,44,.247,.312,.429,.740,109,66,1,0,1,1,0,cabreos01
14,DH,Matt Carpenter*,36,47,154,128,28,39,9,0,15,37,0,0,19,35,.305,.412,.727,1.138,217,93,2,5,1,1,1,carpema01
15,LF,Andrew Benintendi*,27,33,131,114,14,29,9,1,2,12,4,1,13,25,.254,.331,.404,.734,109,46,1,1,1,2,0,beninan01
16,LF,Miguel Andújar,27,27,100,96,9,22,2,0,1,8,4,0,3,22,.229,.250,.281,.531,52,27,0,0,0,1,0,andujmi01
17,MI,Oswald Peraza,22,18,57,49,8,15,3,0,1,2,2,0,6,9,.306,.404,.429,.832,139,21,3,2,0,0,0,perazos02
18,CF,Harrison Bader,28,14,49,46,3,10,3,0,0,9,2,1,2,15,.217,.245,.283,.528,51,13,0,0,0,1,0,baderha01
19,OF,Tim Locastro,29,38,46,43,13,8,1,0,2,4,8,2,2,7,.186,.239,.349,.588,66,15,0,1,0,0,0,locasti01
20,OF,Estevan Florial*,24,17,35,31,4,3,0,0,0,1,2,0,3,13,.097,.200,.097,.297,-11,3,0,1,0,0,0,flories01
21,1B,Ronald Guzmán*,27,3,6,6,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,1,0,0,0,0,guzmaro01
22,C,Rob Brantly*,32,1,3,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,177,2,0,0,0,0,0,brantro01
